zipcode,population,year
60601,14513.0,2020
60602,1596.0,2020
60603,1186.0,2020
60604,729.0,2020
60605,30950.0,2020
60606,3204.0,2020
60607,30306.0,2020
60608,80011.0,2020
60609,60551.0,2020
60610,40954.0,2020
60611,33937.0,2020
60612,32240.0,2020
60613,51399.0,2020
60614,72391.0,2020
60615,41198.0,2020
60616,52557.0,2020
60617,82101.0,2020
60618,94646.0,2020
60619,61372.0,2020
60620,68761.0,2020
60621,26736.0,2020
60622,52957.0,2020
60623,77732.0,2020
60624,35054.0,2020
60625,78820.0,2020
60626,51017.0,2020
60628,65008.0,2020
60629,107930.0,2020
60630,55692.0,2020
60631,28864.0,2020
60632,86715.0,2020
60633,12720.0,2020
60634,75604.0,2020
60636,30039.0,2020
60637,46621.0,2020
60638,57057.0,2020
60639,88515.0,2020
60640,69726.0,2020
60641,70163.0,2020
60643,48572.0,2020
60644,45919.0,2020
60645,46924.0,2020
60646,29043.0,2020
60647,85658.0,2020
60649,47084.0,2020
60651,63679.0,2020
60652,42296.0,2020
60653,33574.0,2020
60654,20812.0,2020
60655,27771.0,2020
60656,28982.0,2020
60657,70489.0,2020
60659,43843.0,2020
60660,45131.0,2020
60661,10734.0,2020
60642,20191.0,2020
